timeframe,pattern,direction,family,count,mean_return_30m,median_return_30m,win_rate_30m,mean_return_60m,median_return_60m,win_rate_60m,mean_return_180m,median_return_180m,win_rate_180m,best_use,edge_score
1h,gravestone_doji,short,reversal,1,0.00949838913159076,0.00949838913159076,1.0,0.00949838913159076,0.00949838913159076,1.0,0.015165100979032602,0.015165100979032602,1.0,entry_hold,156.65100979032601
1h,bearish_harami,short,reversal,16,0.00027771845658887124,0.0005839261367106407,0.5625,0.00027771845658887124,0.0005839261367106407,0.5625,0.0020080288558166812,0.002851536680166376,0.6875,entry_hold,22.892788558166814
1h,dark_cloud_cover,short,reversal,6,0.0018710683693201281,0.0009598124676085873,0.5,0.0018710683693201281,0.0009598124676085873,0.5,0.00790019235299279,0.004144627388235832,1.0,weak_or_context_only,20.210683693201283
1h,inverted_hammer,long,reversal,5,0.00021165271872224676,0.0028957479573721765,0.8,0.00021165271872224676,0.0028957479573721765,0.8,0.0013461791690734398,0.005102828046818167,0.6,entry_hold,17.461791690734398
1h,dragonfly_doji,long,reversal,7,0.0014483229691198136,0.0008661851653940575,0.5714285714285714,0.0014483229691198136,0.0008661851653940575,0.5714285714285714,8.773052188493041e-05,0.00044901400190602695,0.7142857142857143,entry_scalp_or_exit,16.76894397691242
1h,shooting_star,short,reversal,11,0.0008314703216481971,9.704968944110612e-05,0.5454545454545454,0.0008314703216481971,9.704968944110612e-05,0.5454545454545454,0.0012590367918220253,0.006993335946687631,0.6363636363636364,entry_hold,15.317640645492979
1h,bullish_engulfing,long,reversal,22,0.0009042709731370742,0.001278573921351478,0.6363636363636364,0.0009042709731370742,0.001278573921351478,0.6363636363636364,0.0001643080265475308,0.0016781916110169624,0.5909090909090909,entry_scalp_or_exit,11.588164276825287
1h,tweezer_bottom,long,reversal,21,0.0005361614034643921,0.00016217147606447144,0.5238095238095238,0.0005361614034643921,0.00016217147606447144,0.5238095238095238,-0.0007342147433942325,-0.0007081062775160257,0.47619047619047616,entry_scalp_or_exit,7.456852129882016
1h,bullish_marubozu,long,continuation,15,0.0002962043890086073,-0.00147334853775207,0.3333333333333333,0.0002962043890086073,-0.00147334853775207,0.3333333333333333,0.0015013344086371137,-0.0019472507133492538,0.4666666666666667,weak_or_context_only,3.962043890086073
1h,doji,neutral,indecision,94,0.005119711746631604,0.003951155919267037,1.0,0.005119711746631604,0.003951155919267037,1.0,0.007797180634199447,0.005916394031500126,1.0,exit/watch,0.005119711746631604
1h,spinning_top,neutral,indecision,77,0.00507732674137241,0.003920940464557489,1.0,0.00507732674137241,0.003920940464557489,1.0,0.008376155806272254,0.005475203447663127,1.0,exit/watch,0.00507732674137241
1h,long_legged_doji,neutral,indecision,31,0.00478240526130906,0.0037729077833341534,1.0,0.00478240526130906,0.0037729077833341534,1.0,0.007195552212739843,0.005744891809397984,1.0,exit/watch,0.00478240526130906
1h,morning_star,long,reversal,4,-0.0006270571358799942,-0.0022512581032689597,0.25,-0.0006270571358799942,-0.0022512581032689597,0.25,0.0034040579238447657,0.001734728247596654,0.75,weak_or_context_only,-5.520571358799942
1h,bullish_harami,long,reversal,17,-0.0008035057852661984,-0.000782888711631139,0.4117647058823529,-0.0008035057852661984,-0.000782888711631139,0.4117647058823529,-0.00020254839069659916,0.0005027910031193658,0.5882352941176471,weak_or_context_only,-6.799763735014925
